#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.08000 temp=   0.30000
    0.123500E+01    0.416842E+02    0.119950E-01   -0.234769E+02    0.368053E+02
    0.645811E+01    0.416602E+02    0.120019E-01   -0.234583E+02    0.367867E+02
    0.156566E+02    0.415421E+02    0.120360E-01   -0.233491E+02    0.366775E+02
    0.285002E+02    0.412124E+02    0.121323E-01   -0.230446E+02    0.363730E+02
    0.445250E+02    0.405356E+02    0.123348E-01   -0.223697E+02    0.356982E+02
    0.631518E+02    0.393797E+02    0.126969E-01   -0.211856E+02    0.345140E+02
    0.837074E+02    0.376359E+02    0.132852E-01   -0.194032E+02    0.327316E+02
    0.105449E+03    0.352513E+02    0.141839E-01   -0.169712E+02    0.302996E+02
    0.127591E+03    0.322472E+02    0.155052E-01   -0.139789E+02    0.273074E+02
    0.149332E+03    0.287196E+02    0.174097E-01   -0.106362E+02    0.239646E+02
    0.169888E+03    0.248489E+02    0.201216E-01   -0.717348E+01    0.205019E+02
    0.188515E+03    0.208803E+02    0.239461E-01   -0.374060E+01    0.170690E+02
    0.204539E+03    0.171055E+02    0.292303E-01   -0.528510E+00    0.138569E+02
    0.217383E+03    0.138337E+02    0.361436E-01    0.222644E+01    0.111020E+02
    0.226582E+03    0.113498E+02    0.440535E-01    0.430285E+01    0.902557E+01
    0.231805E+03    0.988482E+01    0.505826E-01    0.551991E+01    0.780851E+01
    0.233112E+03    0.951191E+01    0.525657E-01    0.582856E+01    0.749986E+01
    0.233419E+03    0.942399E+01    0.530561E-01    0.590125E+01    0.742717E+01
    0.233966E+03    0.926693E+01    0.539553E-01    0.603098E+01    0.729744E+01
    0.234743E+03    0.904277E+01    0.552928E-01    0.621602E+01    0.711240E+01
    0.235740E+03    0.875433E+01    0.571146E-01    0.645379E+01    0.687463E+01
    0.236938E+03    0.840533E+01    0.594861E-01    0.674098E+01    0.658744E+01
    0.238318E+03    0.800042E+01    0.624967E-01    0.707350E+01    0.625492E+01
    0.239858E+03    0.754504E+01    0.662687E-01    0.744655E+01    0.588187E+01
    0.241533E+03    0.704557E+01    0.709665E-01    0.785463E+01    0.547379E+01
    0.243314E+03    0.650925E+01    0.768137E-01    0.829157E+01    0.503685E+01
    0.245173E+03    0.594446E+01    0.841119E-01    0.875062E+01    0.457780E+01
    0.247079E+03    0.535966E+01    0.932895E-01    0.922455E+01    0.410388E+01
    0.249001E+03    0.476385E+01    0.104957E+00    0.970575E+01    0.362271E+01
    0.250906E+03    0.416712E+01    0.119987E+00    0.101863E+02    0.314226E+01
    0.252765E+03    0.358052E+01    0.139645E+00    0.106583E+02    0.267083E+01
    0.254547E+03    0.301652E+01    0.165754E+00    0.111137E+02    0.221750E+01
