#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.02000 temp=   1.20000
    0.719171E+00    0.164176E+02    0.304551E-01   -0.837420E+01    0.147346E+02
    0.376071E+01    0.164099E+02    0.304694E-01   -0.836456E+01    0.147249E+02
    0.911723E+01    0.163710E+02    0.305418E-01   -0.831863E+01    0.146790E+02
    0.165964E+02    0.162615E+02    0.307474E-01   -0.819385E+01    0.145542E+02
    0.259280E+02    0.160371E+02    0.311778E-01   -0.793913E+01    0.142995E+02
    0.367748E+02    0.156544E+02    0.319399E-01   -0.750449E+01    0.138650E+02
    0.487449E+02    0.150761E+02    0.331651E-01   -0.685381E+01    0.132145E+02
    0.614055E+02    0.142872E+02    0.349964E-01   -0.598500E+01    0.123461E+02
    0.742991E+02    0.132988E+02    0.375975E-01   -0.493273E+01    0.112948E+02
    0.869598E+02    0.121467E+02    0.411636E-01   -0.375674E+01    0.101214E+02
    0.989298E+02    0.108950E+02    0.458925E-01   -0.253535E+01    0.890631E+01
    0.109777E+03    0.962803E+01    0.519317E-01   -0.134742E+01    0.773271E+01
    0.119108E+03    0.844775E+01    0.591873E-01   -0.263771E+00    0.667727E+01
    0.126587E+03    0.745357E+01    0.670820E-01    0.646838E+00    0.581199E+01
    0.131944E+03    0.672598E+01    0.743386E-01    0.132414E+01    0.518992E+01
    0.134985E+03    0.631226E+01    0.792109E-01    0.171829E+01    0.484004E+01
    0.135777E+03    0.620514E+01    0.805784E-01    0.182195E+01    0.474984E+01
    0.136084E+03    0.616361E+01    0.811213E-01    0.186228E+01    0.471498E+01
    0.136631E+03    0.608977E+01    0.821049E-01    0.193429E+01    0.465304E+01
    0.137408E+03    0.598535E+01    0.835373E-01    0.203712E+01    0.456533E+01
    0.138405E+03    0.585190E+01    0.854424E-01    0.216947E+01    0.445381E+01
    0.139603E+03    0.569289E+01    0.878288E-01    0.232965E+01    0.432101E+01
    0.140983E+03    0.551155E+01    0.907186E-01    0.251558E+01    0.417007E+01
    0.142523E+03    0.531212E+01    0.941243E-01    0.272479E+01    0.400474E+01
    0.144198E+03    0.509980E+01    0.980431E-01    0.295445E+01    0.382927E+01
    0.145979E+03    0.488024E+01    0.102454E+00    0.320131E+01    0.364838E+01
    0.147838E+03    0.465946E+01    0.107308E+00    0.346179E+01    0.346710E+01
    0.149744E+03    0.444374E+01    0.112518E+00    0.373194E+01    0.329054E+01
    0.151665E+03    0.423919E+01    0.117947E+00    0.400756E+01    0.312361E+01
    0.153571E+03    0.405117E+01    0.123421E+00    0.428422E+01    0.297070E+01
    0.155430E+03    0.388410E+01    0.128730E+00    0.455737E+01    0.283530E+01
    0.157212E+03    0.374110E+01    0.133651E+00    0.482238E+01    0.271981E+01
    0.158886E+03    0.362364E+01    0.137983E+00    0.507455E+01    0.262530E+01
    0.160426E+03    0.353169E+01    0.141575E+00    0.530918E+01    0.255150E+01
    0.161806E+03    0.346382E+01    0.144349E+00    0.552173E+01    0.249686E+01
    0.163005E+03    0.341702E+01    0.146326E+00    0.570794E+01    0.245880E+01
    0.164001E+03    0.338427E+01    0.147742E+00    0.586399E+01    0.243410E+01
    0.164779E+03    0.336908E+01    0.148408E+00    0.598663E+01    0.241935E+01
    0.165326E+03    0.335739E+01    0.148925E+00    0.607326E+01    0.241143E+01
    0.165632E+03    0.335235E+01    0.149149E+00    0.612202E+01    0.240787E+01
    0.165777E+03    0.335168E+01    0.149179E+00    0.614500E+01    0.240643E+01
