
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    1.158439E-02    1.000000E-01    7.000000E-01    2.558525E+00
    1.158439E-02    2.000000E-01    7.000000E-01    2.558520E+00
    1.158439E-02    3.000000E-01    7.000000E-01    2.558090E+00
    1.158439E-02    4.000000E-01    7.000000E-01    2.554251E+00
    1.158439E-02    5.000000E-01    7.000000E-01    2.541001E+00
    1.158439E-02    6.000000E-01    7.000000E-01    2.511934E+00
    1.158439E-02    7.000000E-01    7.000000E-01    2.461512E+00
    1.158439E-02    8.000000E-01    7.000000E-01    2.384726E+00
    1.158439E-02    9.000000E-01    7.000000E-01    2.276213E+00
    1.158439E-02    1.000000E+00    7.000000E-01    2.129057E+00
    1.158439E-02    1.100000E+00    7.000000E-01    1.932764E+00
    1.158439E-02    1.200000E+00    7.000000E-01    1.668605E+00
    1.158439E-02    1.300000E+00    7.000000E-01    1.294209E+00
    1.158439E-02    1.400000E+00    7.000000E-01    6.361736E-01
    1.158439E-02    1.500000E+00    7.000000E-01    4.392591E-06
