
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    2.074129E-02    1.000000E-01    8.500000E-01    2.474323E+00
    2.074129E-02    2.000000E-01    8.500000E-01    2.469238E+00
    2.074129E-02    3.000000E-01    8.500000E-01    2.468679E+00
    2.074129E-02    4.000000E-01    8.500000E-01    2.463979E+00
    2.074129E-02    5.000000E-01    8.500000E-01    2.448595E+00
    2.074129E-02    6.000000E-01    8.500000E-01    2.415921E+00
    2.074129E-02    7.000000E-01    8.500000E-01    2.360383E+00
    2.074129E-02    8.000000E-01    8.500000E-01    2.276878E+00
    2.074129E-02    9.000000E-01    8.500000E-01    2.159735E+00
    2.074129E-02    1.000000E+00    8.500000E-01    2.001277E+00
    2.074129E-02    1.100000E+00    8.500000E-01    1.789196E+00
    2.074129E-02    1.200000E+00    8.500000E-01    1.499804E+00
    2.074129E-02    1.300000E+00    8.500000E-01    1.071163E+00
    2.074129E-02    1.400000E+00    8.500000E-01    1.383829E-04
    2.074129E-02    1.500000E+00    8.500000E-01    2.873167E-06
