#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.01500 temp=   0.40000
    0.638873E+00    0.137748E+02    0.362982E-01   -0.651831E+01    0.119956E+02
    0.334081E+01    0.137687E+02    0.363142E-01   -0.651161E+01    0.119889E+02
    0.809926E+01    0.137382E+02    0.363949E-01   -0.647588E+01    0.119531E+02
    0.147433E+02    0.136524E+02    0.366237E-01   -0.637508E+01    0.118523E+02
    0.230330E+02    0.134732E+02    0.371107E-01   -0.616646E+01    0.116437E+02
    0.326688E+02    0.131649E+02    0.379796E-01   -0.581141E+01    0.112887E+02
    0.433023E+02    0.126987E+02    0.393740E-01   -0.528564E+01    0.107629E+02
    0.545493E+02    0.120608E+02    0.414566E-01   -0.458706E+01    0.100643E+02
    0.660033E+02    0.112573E+02    0.444157E-01   -0.374576E+01    0.922303E+01
    0.772504E+02    0.103184E+02    0.484571E-01   -0.281947E+01    0.829673E+01
    0.878839E+02    0.929380E+01    0.537993E-01   -0.186828E+01    0.734555E+01
    0.975196E+02    0.824879E+01    0.606150E-01   -0.949476E+00    0.642674E+01
    0.105809E+03    0.726034E+01    0.688673E-01   -0.116194E+00    0.559347E+01
    0.112453E+03    0.640882E+01    0.780175E-01    0.582271E+00    0.489504E+01
    0.117212E+03    0.576662E+01    0.867058E-01    0.110027E+01    0.437715E+01
    0.119914E+03    0.538982E+01    0.927674E-01    0.140151E+01    0.407606E+01
    0.120625E+03    0.528943E+01    0.945282E-01    0.148169E+01    0.399594E+01
    0.120932E+03    0.524583E+01    0.953138E-01    0.151641E+01    0.396125E+01
    0.121479E+03    0.516773E+01    0.967542E-01    0.157846E+01    0.389926E+01
    0.122256E+03    0.505599E+01    0.988926E-01    0.166712E+01    0.381070E+01
    0.123253E+03    0.491222E+01    0.101787E+00    0.178136E+01    0.369663E+01
    0.124451E+03    0.473722E+01    0.105547E+00    0.191978E+01    0.355846E+01
    0.125831E+03    0.453386E+01    0.110281E+00    0.208070E+01    0.339797E+01
    0.127371E+03    0.430426E+01    0.116164E+00    0.226205E+01    0.321729E+01
    0.129046E+03    0.405136E+01    0.123415E+00    0.246149E+01    0.301898E+01
    0.130827E+03    0.377932E+01    0.132299E+00    0.267633E+01    0.280603E+01
    0.132686E+03    0.349253E+01    0.143163E+00    0.290356E+01    0.258198E+01
    0.134592E+03    0.319614E+01    0.156439E+00    0.313987E+01    0.235099E+01
    0.136514E+03    0.289640E+01    0.172628E+00    0.338162E+01    0.211800E+01
    0.138419E+03    0.260059E+01    0.192264E+00    0.362490E+01    0.188882E+01
    0.140278E+03    0.231667E+01    0.215827E+00    0.386556E+01    0.167008E+01
    0.142060E+03    0.205218E+01    0.243643E+00    0.409931E+01    0.146879E+01
    0.143734E+03    0.181369E+01    0.275681E+00    0.432186E+01    0.129160E+01
    0.145274E+03    0.162052E+01    0.308544E+00    0.452907E+01    0.114365E+01
    0.146655E+03    0.151278E+01    0.330517E+00    0.471692E+01    0.102753E+01
    0.147853E+03    0.136540E+01    0.366194E+00    0.488166E+01    0.942624E+00
    0.148849E+03    0.129898E+01    0.384917E+00    0.501987E+01    0.885331E+00
    0.149627E+03    0.122601E+01    0.407826E+00    0.512859E+01    0.850027E+00
    0.150174E+03    0.134613E+01    0.371436E+00    0.520545E+01    0.830552E+00
    0.150480E+03    0.133238E+01    0.375267E+00    0.524874E+01    0.821643E+00
    0.150625E+03    0.125000E+01    0.399999E+00    0.526915E+01    0.817967E+00
    0.150932E+03    0.105678E+01    0.473136E+00    0.531261E+01    0.811265E+00
    0.151479E+03    0.111883E+01    0.446894E+00    0.539033E+01    0.803147E+00
    0.152256E+03    0.630631E+00    0.792857E+00    0.550153E+01    0.800245E+00
    0.153253E+03    0.125688E+01    0.397811E+00    0.564503E+01    0.811693E+00
    0.154451E+03    0.131381E+01    0.380574E+00    0.581929E+01    0.848157E+00
    0.155831E+03    0.132514E+01    0.377319E+00    0.602232E+01    0.920117E+00
    0.157371E+03    0.147911E+01    0.338041E+00    0.625175E+01    0.103558E+01
    0.159046E+03    0.169498E+01    0.294989E+00    0.650472E+01    0.119801E+01
    0.160827E+03    0.196015E+01    0.255082E+00    0.677798E+01    0.140546E+01
    0.162686E+03    0.226661E+01    0.220594E+00    0.706785E+01    0.165138E+01
    0.164592E+03    0.260227E+01    0.192140E+00    0.737023E+01    0.192659E+01
    0.166514E+03    0.295610E+01    0.169142E+00    0.768057E+01    0.222124E+01
    0.168419E+03    0.331806E+01    0.150690E+00    0.799392E+01    0.252599E+01
