#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.03000 temp=   1.00000
    0.846253E+00    0.209060E+02    0.239166E-01   -0.112181E+02    0.188734E+02
    0.442525E+01    0.208947E+02    0.239296E-01   -0.112066E+02    0.188619E+02
    0.107283E+02    0.208395E+02    0.239929E-01   -0.111455E+02    0.188008E+02
    0.195291E+02    0.206868E+02    0.241700E-01   -0.109709E+02    0.186262E+02
    0.305096E+02    0.203744E+02    0.245406E-01   -0.106013E+02    0.182566E+02
    0.432731E+02    0.198405E+02    0.252010E-01   -0.997247E+01    0.176278E+02
    0.573584E+02    0.190376E+02    0.262638E-01   -0.906541E+01    0.167207E+02
    0.722562E+02    0.179441E+02    0.278643E-01   -0.788748E+01    0.155428E+02
    0.874282E+02    0.165715E+02    0.301723E-01   -0.645926E+01    0.141146E+02
    0.102326E+03    0.149697E+02    0.334007E-01   -0.484796E+01    0.125034E+02
    0.116411E+03    0.132243E+02    0.378091E-01   -0.316360E+01    0.108193E+02
    0.129175E+03    0.114494E+02    0.436704E-01   -0.152261E+01    0.917981E+01
    0.140155E+03    0.977594E+01    0.511460E-01   -0.334115E-01    0.769576E+01
    0.148956E+03    0.834051E+01    0.599484E-01    0.121209E+01    0.646375E+01
    0.155259E+03    0.726934E+01    0.687820E-01    0.213603E+01    0.556370E+01
    0.158838E+03    0.665105E+01    0.751761E-01    0.267295E+01    0.505116E+01
    0.159757E+03    0.649205E+01    0.770172E-01    0.281219E+01    0.492007E+01
    0.160064E+03    0.643884E+01    0.776538E-01    0.285885E+01    0.487634E+01
    0.160610E+03    0.634402E+01    0.788144E-01    0.294215E+01    0.479853E+01
    0.161388E+03    0.620949E+01    0.805220E-01    0.306103E+01    0.468811E+01
    0.162384E+03    0.603714E+01    0.828207E-01    0.321393E+01    0.454726E+01
    0.163583E+03    0.583073E+01    0.857526E-01    0.339880E+01    0.437888E+01
    0.164963E+03    0.559422E+01    0.893779E-01    0.361315E+01    0.418665E+01
    0.166503E+03    0.533276E+01    0.937600E-01    0.385402E+01    0.397502E+01
    0.168178E+03    0.505253E+01    0.989602E-01    0.411803E+01    0.374926E+01
    0.169959E+03    0.476069E+01    0.105027E+00    0.440136E+01    0.351539E+01
    0.171818E+03    0.446524E+01    0.111976E+00    0.469985E+01    0.328004E+01
    0.173724E+03    0.417480E+01    0.119766E+00    0.500897E+01    0.305028E+01
    0.175645E+03    0.389824E+01    0.128263E+00    0.532389E+01    0.283319E+01
    0.177551E+03    0.364420E+01    0.137204E+00    0.563956E+01    0.263537E+01
    0.179410E+03    0.342043E+01    0.146181E+00    0.595076E+01    0.246231E+01
    0.181191E+03    0.323123E+01    0.154740E+00    0.625220E+01    0.231783E+01
    0.182866E+03    0.307859E+01    0.162412E+00    0.653855E+01    0.220366E+01
    0.184406E+03    0.296372E+01    0.168707E+00    0.680452E+01    0.211921E+01
    0.185786E+03    0.288804E+01    0.173128E+00    0.704505E+01    0.206169E+01
    0.186984E+03    0.285379E+01    0.175206E+00    0.725547E+01    0.202657E+01
    0.187981E+03    0.280642E+01    0.178163E+00    0.743158E+01    0.200834E+01
    0.188759E+03    0.283879E+01    0.176131E+00    0.756983E+01    0.200122E+01
    0.189305E+03    0.291578E+01    0.171481E+00    0.766740E+01    0.200002E+01
    0.189612E+03    0.264868E+01    0.188773E+00    0.772230E+01    0.200075E+01
    0.189757E+03    0.264675E+01    0.188911E+00    0.774816E+01    0.200144E+01
    0.190064E+03    0.271234E+01    0.184342E+00    0.780322E+01    0.200365E+01
    0.190610E+03    0.279833E+01    0.178678E+00    0.790156E+01    0.201010E+01
    0.191388E+03    0.276008E+01    0.181154E+00    0.804205E+01    0.202487E+01
    0.192384E+03    0.280914E+01    0.177991E+00    0.822296E+01    0.205342E+01
    0.193583E+03    0.287519E+01    0.173901E+00    0.844207E+01    0.210212E+01
    0.194963E+03    0.295875E+01    0.168990E+00    0.869661E+01    0.217753E+01
    0.196503E+03    0.307655E+01    0.162520E+00    0.898330E+01    0.228564E+01
    0.198178E+03    0.324048E+01    0.154298E+00    0.929831E+01    0.243089E+01
    0.199959E+03    0.346186E+01    0.144431E+00    0.963720E+01    0.261544E+01
    0.201818E+03    0.372232E+01    0.134325E+00    0.999497E+01    0.283865E+01
    0.203724E+03    0.402339E+01    0.124273E+00    0.103661E+02    0.309692E+01
    0.205645E+03    0.436054E+01    0.114665E+00    0.107447E+02    0.338413E+01
    0.207551E+03    0.471937E+01    0.105946E+00    0.111246E+02    0.369228E+01
    0.209410E+03    0.509233E+01    0.981868E-01    0.114993E+02    0.401220E+01
    0.211191E+03    0.546598E+01    0.914750E-01    0.118624E+02    0.433430E+01
    0.212866E+03    0.583048E+01    0.857562E-01    0.122074E+02    0.464911E+01
    0.214406E+03    0.617515E+01    0.809697E-01    0.125278E+02    0.494767E+01
    0.215786E+03    0.649078E+01    0.770324E-01    0.128177E+02    0.522184E+01
    0.216984E+03    0.676926E+01    0.738633E-01    0.130713E+02    0.546435E+01
    0.217981E+03    0.700367E+01    0.713912E-01    0.132836E+02    0.566895E+01
    0.218759E+03    0.718843E+01    0.695562E-01    0.134504E+02    0.583047E+01
    0.219305E+03    0.731913E+01    0.683141E-01    0.135681E+02    0.594490E+01
    0.219612E+03    0.739282E+01    0.676332E-01    0.136344E+02    0.600942E+01
    0.220059E+03    0.750027E+01    0.666643E-01    0.137310E+02    0.610373E+01
    0.221654E+03    0.788775E+01    0.633895E-01    0.140786E+02    0.644421E+01
    0.224513E+03    0.859342E+01    0.581841E-01    0.147105E+02    0.706737E+01
    0.228615E+03    0.962838E+01    0.519298E-01    0.156388E+02    0.798893E+01
    0.233933E+03    0.110044E+02    0.454363E-01    0.168831E+02    0.922957E+01
