
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    5.836100E-02    1.000000E-04    1.200000E+00    1.743901E+00
    5.836100E-02    1.001000E-01    1.200000E+00    1.743901E+00
    5.836100E-02    2.001000E-01    1.200000E+00    1.743659E+00
    5.836100E-02    3.001000E-01    1.200000E+00    1.738490E+00
    5.836100E-02    4.001000E-01    1.200000E+00    1.716360E+00
    5.836100E-02    5.001000E-01    1.200000E+00    1.665608E+00
    5.836100E-02    6.001000E-01    1.200000E+00    1.576606E+00
    5.836100E-02    7.001000E-01    1.200000E+00    1.438284E+00
    5.836100E-02    8.001000E-01    1.200000E+00    1.231808E+00
    5.836100E-02    9.001000E-01    1.200000E+00    9.106285E-01
    5.836100E-02    1.100100E+00    1.200000E+00    2.537619E-06
    5.836100E-02    1.200100E+00    1.200000E+00    1.322757E-06
    5.836100E-02    1.300100E+00    1.200000E+00    9.178137E-07
    5.836100E-02    1.400100E+00    1.200000E+00    7.106305E-07
    5.836100E-02    1.500100E+00    1.200000E+00    5.932553E-07
