
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    3.377373E-02    1.000000E-04    1.000000E+00    2.709556E+00
    3.377373E-02    1.001000E-01    1.000000E+00    2.709556E+00
    3.377373E-02    2.001000E-01    1.000000E+00    2.709554E+00
    3.377373E-02    3.001000E-01    1.000000E+00    2.709279E+00
    3.377373E-02    4.001000E-01    1.000000E+00    2.706521E+00
    3.377373E-02    5.001000E-01    1.000000E+00    2.696321E+00
    3.377373E-02    6.001000E-01    1.000000E+00    2.673025E+00
    3.377373E-02    7.001000E-01    1.000000E+00    2.631717E+00
    3.377373E-02    8.001000E-01    1.000000E+00    2.568200E+00
    3.377373E-02    9.001000E-01    1.000000E+00    2.478428E+00
    3.377373E-02    1.000100E+00    1.000000E+00    2.357766E+00
    3.377373E-02    1.100100E+00    1.000000E+00    2.199985E+00
    3.377373E-02    1.200100E+00    1.000000E+00    1.995494E+00
    3.377373E-02    1.300100E+00    1.000000E+00    1.727242E+00
    3.377373E-02    1.400100E+00    1.000000E+00    1.357620E+00
    3.377373E-02    1.500100E+00    1.000000E+00    7.491140E-01
    3.377373E-02    1.600100E+00    1.000000E+00    5.467344E-06
    3.377373E-02    1.700100E+00    1.000000E+00    2.087343E-06
    3.377373E-02    1.800100E+00    1.000000E+00    1.326690E-06
    3.377373E-02    1.900100E+00    1.000000E+00    9.758784E-07
