
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    1.158439E-02    1.000000E-01    7.000000E-01    2.496784E+00
    1.158439E-02    2.000000E-01    7.000000E-01    2.492897E+00
    1.158439E-02    3.000000E-01    7.000000E-01    2.492378E+00
    1.158439E-02    4.000000E-01    7.000000E-01    2.487935E+00
    1.158439E-02    5.000000E-01    7.000000E-01    2.473129E+00
    1.158439E-02    6.000000E-01    7.000000E-01    2.441324E+00
    1.158439E-02    7.000000E-01    7.000000E-01    2.386830E+00
    1.158439E-02    8.000000E-01    7.000000E-01    2.304405E+00
    1.158439E-02    9.000000E-01    7.000000E-01    2.188221E+00
    1.158439E-02    1.000000E+00    7.000000E-01    2.030433E+00
    1.158439E-02    1.100000E+00    7.000000E-01    1.818550E+00
    1.158439E-02    1.200000E+00    7.000000E-01    1.528722E+00
    1.158439E-02    1.300000E+00    7.000000E-01    1.099363E+00

#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    1.158439E-02    1.300000E+00    7.000000E-01    1.102876E+00
    1.158439E-02    1.500000E+00    7.000000E-01    2.919840E-06
    1.158439E-02    1.600000E+00    7.000000E-01    1.569898E-06
    1.158439E-02    1.700000E+00    7.000000E-01    1.063104E-06
