#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.03000 temp=   0.90000
    0.846253E+00    0.210251E+02    0.237811E-01   -0.111321E+02    0.191140E+02
    0.442525E+01    0.210142E+02    0.237934E-01   -0.111206E+02    0.191025E+02
    0.107283E+02    0.209595E+02    0.238555E-01   -0.110609E+02    0.190427E+02
    0.195291E+02    0.208066E+02    0.240308E-01   -0.108909E+02    0.188728E+02
    0.305096E+02    0.204935E+02    0.243980E-01   -0.105306E+02    0.185124E+02
    0.432731E+02    0.199588E+02    0.250516E-01   -0.991592E+01    0.178978E+02
    0.573584E+02    0.191554E+02    0.261023E-01   -0.901836E+01    0.170002E+02
    0.722562E+02    0.180624E+02    0.276817E-01   -0.784745E+01    0.158293E+02
    0.874282E+02    0.166909E+02    0.299565E-01   -0.642891E+01    0.144108E+02
    0.102326E+03    0.150894E+02    0.331359E-01   -0.482486E+01    0.128067E+02
    0.116411E+03    0.133420E+02    0.374757E-01   -0.313596E+01    0.111179E+02
    0.129175E+03    0.115625E+02    0.432431E-01   -0.148151E+01    0.946388E+01
    0.140155E+03    0.988166E+01    0.505988E-01    0.279267E-01    0.795623E+01
    0.148956E+03    0.843627E+01    0.592679E-01    0.129540E+01    0.669439E+01
    0.155259E+03    0.735258E+01    0.680033E-01    0.223711E+01    0.576419E+01
    0.158838E+03    0.672347E+01    0.743664E-01    0.278488E+01    0.522936E+01
    0.159757E+03    0.656081E+01    0.762101E-01    0.292702E+01    0.509173E+01
    0.160064E+03    0.650646E+01    0.768467E-01    0.297467E+01    0.504574E+01
    0.160610E+03    0.640958E+01    0.780082E-01    0.305974E+01    0.496378E+01
    0.161388E+03    0.627143E+01    0.797266E-01    0.318117E+01    0.484722E+01
    0.162384E+03    0.609465E+01    0.820391E-01    0.333739E+01    0.469807E+01
    0.163583E+03    0.588199E+01    0.850052E-01    0.352635E+01    0.451903E+01
    0.164963E+03    0.563741E+01    0.886932E-01    0.374552E+01    0.431355E+01
    0.166503E+03    0.536586E+01    0.931816E-01    0.399190E+01    0.408585E+01
    0.168178E+03    0.507323E+01    0.985564E-01    0.426204E+01    0.384103E+01
    0.169959E+03    0.476639E+01    0.104901E+00    0.455205E+01    0.358503E+01
