#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.12000 temp=   0.00000
    0.463256E+03    0.783633E+02    0.638054E-02    0.874849E+02    0.704696E+02
    0.485351E+03    0.913053E+02    0.547613E-02    0.999243E+02    0.829090E+02
    0.508971E+03    0.105714E+03    0.472976E-02    0.113793E+03    0.967776E+02
    0.534117E+03    0.121681E+03    0.410910E-02    0.129154E+03    0.112139E+03
    0.560813E+03    0.139307E+03    0.358920E-02    0.146086E+03    0.129071E+03
    0.589104E+03    0.158699E+03    0.315063E-02    0.164695E+03    0.147680E+03
    0.619057E+03    0.179979E+03    0.277810E-02    0.185102E+03    0.168087E+03
    0.650772E+03    0.203283E+03    0.245962E-02    0.207466E+03    0.190451E+03
    0.684379E+03    0.228773E+03    0.218557E-02    0.232020E+03    0.215004E+03
    0.720049E+03    0.256661E+03    0.194809E-02    0.258919E+03    0.241903E+03
    0.758001E+03    0.287241E+03    0.174070E-02    0.288922E+03    0.271907E+03
    0.798514E+03    0.320937E+03    0.155794E-02    0.322859E+03    0.305844E+03
    0.841940E+03    0.358388E+03    0.139514E-02    0.361438E+03    0.344423E+03
    0.888732E+03    0.400519E+03    0.124838E-02    0.406120E+03    0.389104E+03
    0.939474E+03    0.448606E+03    0.111456E-02    0.457877E+03    0.440861E+03
    0.994929E+03    0.504355E+03    0.991365E-03    0.518177E+03    0.501162E+03
    0.105612E+04    0.570077E+03    0.877075E-03    0.588525E+03    0.571509E+03
    0.112445E+04    0.648982E+03    0.770438E-03    0.672235E+03    0.655220E+03
    0.120192E+04    0.745575E+03    0.670624E-03    0.770635E+03    0.753620E+03
    0.129150E+04    0.866291E+03    0.577173E-03    0.891562E+03    0.874547E+03
    0.139785E+04    0.102086E+04    0.489781E-03    0.104391E+04    0.102690E+04
    0.152902E+04    0.122664E+04    0.407617E-03    0.124594E+04    0.122892E+04
    0.170056E+04    0.152186E+04    0.328545E-03    0.153925E+04    0.152223E+04
    0.194941E+04    0.200529E+04    0.249340E-03    0.202231E+04    0.200529E+04
    0.240884E+04    0.307084E+04    0.162822E-03    0.308785E+04    0.307084E+04
