
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    4.495283E-02    1.000000E-04    1.100000E+00    2.300630E+00
    4.495283E-02    1.001000E-01    1.100000E+00    2.300630E+00
    4.495283E-02    2.001000E-01    1.100000E+00    2.300612E+00
    4.495283E-02    3.001000E-01    1.100000E+00    2.299648E+00
    4.495283E-02    4.001000E-01    1.100000E+00    2.292919E+00
    4.495283E-02    5.001000E-01    1.100000E+00    2.272838E+00
    4.495283E-02    6.001000E-01    1.100000E+00    2.232472E+00
    4.495283E-02    7.001000E-01    1.100000E+00    2.166098E+00
    4.495283E-02    8.001000E-01    1.100000E+00    2.068203E+00
    4.495283E-02    9.001000E-01    1.100000E+00    1.932046E+00
    4.495283E-02    1.000100E+00    1.100000E+00    1.747451E+00
    4.495283E-02    1.100100E+00    1.100000E+00    1.495822E+00
    4.495283E-02    1.200100E+00    1.100000E+00    1.132972E+00
    4.495283E-02    1.400100E+00    1.100000E+00    3.566382E-06
    4.495283E-02    1.500100E+00    1.100000E+00    1.681905E-06
