
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    9.118907E-04    1.000000E-04    3.000000E-01    8.022198E-01
    9.118907E-04    1.001000E-01    3.000000E-01    8.020196E-01
    9.118907E-04    2.001000E-01    3.000000E-01    7.851663E-01
    9.118907E-04    3.001000E-01    3.000000E-01    7.053964E-01
    9.118907E-04    4.001000E-01    3.000000E-01    5.042092E-01
    9.118907E-04    5.001000E-01    3.000000E-01    5.435412E-06
    9.118907E-04    6.001000E-01    3.000000E-01    1.342778E-06
    9.118907E-04    7.001000E-01    3.000000E-01    8.246393E-07
    9.118907E-04    8.001000E-01    3.000000E-01    6.146801E-07
    9.118907E-04    9.001000E-01    3.000000E-01    5.075349E-07
    9.118907E-04    1.000100E+00    3.000000E-01    4.180359E-07
    9.118907E-04    1.100100E+00    3.000000E-01    3.705940E-07
    9.118907E-04    1.200100E+00    3.000000E-01    3.499405E-07
    9.118907E-04    1.300100E+00    3.000000E-01    3.181205E-07
    9.118907E-04    1.400100E+00    3.000000E-01    3.027424E-07
    9.118907E-04    1.500100E+00    3.000000E-01    2.781144E-07
    9.118907E-04    1.600100E+00    3.000000E-01    2.540581E-07
    9.118907E-04    1.700100E+00    3.000000E-01    2.418728E-07
    9.118907E-04    1.800100E+00    3.000000E-01    2.340160E-07
    9.118907E-04    1.900100E+00    3.000000E-01    2.251362E-07
