
#   kf [fm-1]       T [MeV]       Gap(kf) [MeV]
    7.629641E-01    0.000000E+00    2.089427E+00
    7.629641E-01    4.000000E-01    2.014904E+00
    7.629641E-01    6.000000E-01    1.662917E+00
    7.629641E-01    8.000000E-01    9.848917E-01
    7.629641E-01    9.000000E-01    2.135964E-05
    7.629641E-01    1.000000E+00    2.736396E-06
