#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.02000 temp=   0.70000
    0.719171E+00    0.161580E+02    0.309444E-01   -0.808344E+01    0.141066E+02
    0.376071E+01    0.161501E+02    0.309596E-01   -0.807430E+01    0.140975E+02
    0.911723E+01    0.161105E+02    0.310357E-01   -0.803233E+01    0.140555E+02
    0.165964E+02    0.159997E+02    0.312506E-01   -0.791898E+01    0.139421E+02
    0.259280E+02    0.157730E+02    0.316998E-01   -0.768386E+01    0.137070E+02
    0.367748E+02    0.153847E+02    0.324999E-01   -0.727807E+01    0.133012E+02
    0.487449E+02    0.147980E+02    0.337884E-01   -0.666243E+01    0.126856E+02
    0.614055E+02    0.139980E+02    0.357194E-01   -0.582774E+01    0.118509E+02
    0.742991E+02    0.129929E+02    0.384827E-01   -0.480041E+01    0.108236E+02
    0.869598E+02    0.118183E+02    0.423073E-01   -0.364301E+01    0.966619E+01
    0.989298E+02    0.105364E+02    0.474546E-01   -0.243733E+01    0.846058E+01
    0.109777E+03    0.922950E+01    0.541741E-01   -0.126210E+01    0.728570E+01
    0.119108E+03    0.799423E+01    0.625451E-01   -0.190567E+00    0.621546E+01
    0.126587E+03    0.693206E+01    0.721287E-01    0.709698E+00    0.531883E+01
    0.131944E+03    0.613509E+01    0.814984E-01    0.137814E+01    0.465723E+01
    0.134985E+03    0.567151E+01    0.881599E-01    0.176690E+01    0.427577E+01
    0.135777E+03    0.554967E+01    0.900955E-01    0.186919E+01    0.417602E+01
    0.136084E+03    0.550231E+01    0.908709E-01    0.190898E+01    0.413730E+01
    0.136631E+03    0.541803E+01    0.922845E-01    0.198006E+01    0.406826E+01
    0.137408E+03    0.529768E+01    0.943809E-01    0.208157E+01    0.396996E+01
    0.138405E+03    0.514317E+01    0.972164E-01    0.221225E+01    0.384399E+01
    0.139603E+03    0.495706E+01    0.100866E+00    0.237046E+01    0.369249E+01
    0.140983E+03    0.474257E+01    0.105428E+00    0.255416E+01    0.351821E+01
    0.142523E+03    0.450358E+01    0.111023E+00    0.276094E+01    0.332456E+01
    0.144198E+03    0.424512E+01    0.117782E+00    0.298798E+01    0.311569E+01
    0.145979E+03    0.397329E+01    0.125840E+00    0.323210E+01    0.289657E+01
    0.147838E+03    0.369518E+01    0.135311E+00    0.348976E+01    0.267296E+01
    0.149744E+03    0.341876E+01    0.146252E+00    0.375706E+01    0.245135E+01
    0.151665E+03    0.315256E+01    0.158601E+00    0.402984E+01    0.223870E+01
    0.153571E+03    0.290531E+01    0.172099E+00    0.430373E+01    0.204197E+01
    0.155430E+03    0.268509E+01    0.186214E+00    0.457420E+01    0.186747E+01
    0.157212E+03    0.249825E+01    0.200140E+00    0.483664E+01    0.172017E+01
    0.158886E+03    0.234820E+01    0.212929E+00    0.508636E+01    0.160297E+01
    0.160426E+03    0.223622E+01    0.223592E+00    0.531871E+01    0.151621E+01
    0.161806E+03    0.216720E+01    0.230713E+00    0.552919E+01    0.145762E+01
    0.163005E+03    0.213938E+01    0.233713E+00    0.571360E+01    0.142274E+01
    0.164001E+03    0.207427E+01    0.241048E+00    0.586818E+01    0.140571E+01
    0.164779E+03    0.231124E+01    0.216334E+00    0.598967E+01    0.140027E+01
    0.165326E+03    0.212218E+01    0.235607E+00    0.607549E+01    0.140065E+01
    0.165632E+03    0.211934E+01    0.235922E+00    0.612381E+01    0.140241E+01
    0.165777E+03    0.210021E+01    0.238071E+00    0.614659E+01    0.140363E+01
    0.166084E+03    0.206691E+01    0.241907E+00    0.619507E+01    0.140703E+01
    0.166631E+03    0.208533E+01    0.239770E+00    0.628174E+01    0.141588E+01
    0.167408E+03    0.212499E+01    0.235295E+00    0.640565E+01    0.143466E+01
    0.168405E+03    0.216004E+01    0.231478E+00    0.656542E+01    0.146932E+01
    0.169603E+03    0.222145E+01    0.225079E+00    0.675921E+01    0.152668E+01
    0.170983E+03    0.232644E+01    0.214920E+00    0.698475E+01    0.161353E+01
    0.172523E+03    0.247147E+01    0.202308E+00    0.723928E+01    0.173560E+01
    0.174198E+03    0.266105E+01    0.187896E+00    0.751958E+01    0.189652E+01
    0.175979E+03    0.289663E+01    0.172614E+00    0.782192E+01    0.209703E+01
    0.177838E+03    0.317421E+01    0.157519E+00    0.814205E+01    0.233472E+01
    0.179744E+03    0.348675E+01    0.143400E+00    0.847525E+01    0.260432E+01
    0.181665E+03    0.382587E+01    0.130689E+00    0.881633E+01    0.289843E+01
    0.183571E+03    0.418159E+01    0.119572E+00    0.915976E+01    0.320845E+01
    0.185430E+03    0.454341E+01    0.110050E+00    0.949972E+01    0.352535E+01
    0.187212E+03    0.490115E+01    0.102017E+00    0.983022E+01    0.384029E+01
    0.188886E+03    0.524532E+01    0.953230E-01    0.101451E+02    0.414489E+01
    0.190426E+03    0.556771E+01    0.898035E-01    0.104385E+02    0.443144E+01
    0.191806E+03    0.586072E+01    0.853137E-01    0.107044E+02    0.469293E+01
    0.193005E+03    0.611779E+01    0.817289E-01    0.109375E+02    0.492316E+01
    0.194001E+03    0.633334E+01    0.789473E-01    0.111330E+02    0.511675E+01
    0.194779E+03    0.650262E+01    0.768921E-01    0.112867E+02    0.526922E+01
    0.195326E+03    0.662213E+01    0.755044E-01    0.113952E+02    0.537707E+01
    0.195632E+03    0.668933E+01    0.747459E-01    0.114564E+02    0.543783E+01
    0.196031E+03    0.677686E+01    0.737805E-01    0.115359E+02    0.551692E+01
    0.197420E+03    0.708363E+01    0.705853E-01    0.118152E+02    0.579498E+01
    0.199909E+03    0.763908E+01    0.654529E-01    0.123228E+02    0.630119E+01
    0.203480E+03    0.844844E+01    0.591826E-01    0.130673E+02    0.704478E+01
    0.208110E+03    0.951796E+01    0.525323E-01    0.140604E+02    0.803745E+01
    0.213770E+03    0.108556E+02    0.460594E-01    0.153162E+02    0.929311E+01
    0.220429E+03    0.124713E+02    0.400920E-01    0.168523E+02    0.108292E+02
    0.228052E+03    0.143783E+02    0.347746E-01    0.186911E+02    0.126679E+02
    0.236607E+03    0.165920E+02    0.301350E-01    0.208621E+02    0.148390E+02
    0.246062E+03    0.191303E+02    0.261366E-01    0.234031E+02    0.173800E+02
    0.256391E+03    0.220148E+02    0.227120E-01    0.263492E+02    0.203261E+02
    0.267572E+03    0.252681E+02    0.197878E-01    0.297013E+02    0.236781E+02
    0.279588E+03    0.289181E+02    0.172902E-01    0.334620E+02    0.274389E+02
    0.292433E+03    0.329960E+02    0.151533E-01    0.376734E+02    0.316502E+02
    0.306108E+03    0.375378E+02    0.133199E-01    0.423417E+02    0.363185E+02
    0.320626E+03    0.425854E+02    0.117411E-01    0.474744E+02    0.414513E+02
    0.336011E+03    0.481880E+02    0.103760E-01    0.531407E+02    0.471175E+02
    0.352301E+03    0.544037E+02    0.919056E-02    0.593770E+02    0.533539E+02
    0.369548E+03    0.613015E+02    0.815641E-02    0.662611E+02    0.602379E+02
    0.387825E+03    0.689647E+02    0.725008E-02    0.738622E+02    0.678390E+02
    0.407223E+03    0.774949E+02    0.645204E-02    0.822839E+02    0.762607E+02
    0.427863E+03    0.870169E+02    0.574601E-02    0.916551E+02    0.856319E+02
    0.449895E+03    0.976867E+02    0.511840E-02    0.102142E+03    0.961192E+02
