
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    4.495283E-02    1.000000E-01    1.100000E+00    1.265416E+00
    4.495283E-02    2.000000E-01    1.100000E+00    1.261371E+00
    4.495283E-02    3.000000E-01    1.100000E+00    1.239848E+00
    4.495283E-02    4.000000E-01    1.100000E+00    1.176580E+00
    4.495283E-02    5.000000E-01    1.100000E+00    1.051559E+00
    4.495283E-02    6.000000E-01    1.100000E+00    8.303961E-01
    4.495283E-02    7.000000E-01    1.100000E+00    3.609797E-01
    4.495283E-02    8.000000E-01    1.100000E+00    2.576742E-06
    4.495283E-02    9.000000E-01    1.100000E+00    1.201967E-06
    4.495283E-02    1.000000E+00    1.100000E+00    7.956194E-07
    4.495283E-02    1.100000E+00    1.100000E+00    5.992755E-07
