#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.08000 temp=   0.10000
    0.123500E+01    0.422579E+02    0.118321E-01   -0.219695E+02    0.373418E+02
    0.645811E+01    0.422330E+02    0.118391E-01   -0.219475E+02    0.373197E+02
    0.156566E+02    0.421119E+02    0.118731E-01   -0.218281E+02    0.372004E+02
    0.285002E+02    0.417743E+02    0.119691E-01   -0.215008E+02    0.368730E+02
    0.445250E+02    0.410835E+02    0.121703E-01   -0.208065E+02    0.361787E+02
    0.631518E+02    0.399009E+02    0.125310E-01   -0.195994E+02    0.349717E+02
    0.837074E+02    0.381138E+02    0.131186E-01   -0.177686E+02    0.331409E+02
    0.105449E+03    0.356724E+02    0.140164E-01   -0.152885E+02    0.306608E+02
    0.127591E+03    0.325971E+02    0.153388E-01   -0.122545E+02    0.276267E+02
    0.149332E+03    0.289922E+02    0.172460E-01   -0.889083E+01    0.242631E+02
    0.169888E+03    0.250450E+02    0.199640E-01   -0.538164E+01    0.207539E+02
    0.188515E+03    0.210065E+02    0.238021E-01   -0.187689E+01    0.172491E+02
    0.204539E+03    0.171758E+02    0.291108E-01    0.138232E+01    0.139899E+02
    0.217383E+03    0.138614E+02    0.360714E-01    0.417193E+01    0.112003E+02
    0.226582E+03    0.113500E+02    0.440530E-01    0.627379E+01    0.909847E+01
    0.231805E+03    0.987018E+01    0.506576E-01    0.750595E+01    0.786631E+01
    0.233112E+03    0.949428E+01    0.526633E-01    0.781835E+01    0.755391E+01
    0.233419E+03    0.940579E+01    0.531587E-01    0.789192E+01    0.748034E+01
    0.233966E+03    0.924762E+01    0.540680E-01    0.802320E+01    0.734906E+01
    0.234743E+03    0.902167E+01    0.554221E-01    0.821043E+01    0.716183E+01
    0.235740E+03    0.873041E+01    0.572711E-01    0.845102E+01    0.692124E+01
    0.236938E+03    0.837799E+01    0.596802E-01    0.874160E+01    0.663066E+01
    0.238318E+03    0.797061E+01    0.627305E-01    0.907807E+01    0.629419E+01
    0.239858E+03    0.751310E+01    0.665504E-01    0.945563E+01    0.591663E+01
    0.241533E+03    0.700821E+01    0.713449E-01    0.986880E+01    0.550346E+01
    0.243314E+03    0.646655E+01    0.773210E-01    0.103115E+02    0.506079E+01
    0.245173E+03    0.590036E+01    0.847406E-01    0.107769E+02    0.459532E+01
    0.247079E+03    0.531337E+01    0.941022E-01    0.112580E+02    0.411425E+01
    0.249001E+03    0.471417E+01    0.106063E+00    0.117470E+02    0.362524E+01
    0.250906E+03    0.411343E+01    0.121553E+00    0.122360E+02    0.313629E+01
    0.252765E+03    0.352163E+01    0.141980E+00    0.127167E+02    0.265561E+01
    0.254547E+03    0.294913E+01    0.169542E+00    0.131808E+02    0.219143E+01
    0.256221E+03    0.240651E+01    0.207770E+00    0.136204E+02    0.175189E+01
    0.257761E+03    0.190468E+01    0.262512E+00    0.140274E+02    0.134485E+01
    0.259142E+03    0.145606E+01    0.343392E+00    0.143945E+02    0.977859E+00
