
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    2.161519E-03    1.000000E-04    4.000000E-01    1.342758E+00
    2.161519E-03    1.001000E-01    4.000000E-01    1.342757E+00
    2.161519E-03    2.001000E-01    4.000000E-01    1.341314E+00
    2.161519E-03    3.001000E-01    4.000000E-01    1.325236E+00
    2.161519E-03    4.001000E-01    4.000000E-01    1.274516E+00
    2.161519E-03    5.001000E-01    4.000000E-01    1.171753E+00
    2.161519E-03    6.001000E-01    4.000000E-01    9.927738E-01
    2.161519E-03    7.001000E-01    4.000000E-01    6.723008E-01
    2.161519E-03    8.001000E-01    4.000000E-01    6.650696E-06
    2.161519E-03    9.001000E-01    4.000000E-01    1.696231E-06
    2.161519E-03    1.000100E+00    4.000000E-01    1.010381E-06
    2.161519E-03    1.100100E+00    4.000000E-01    7.375409E-07
    2.161519E-03    1.200100E+00    4.000000E-01    5.916342E-07
    2.161519E-03    1.300100E+00    4.000000E-01    5.104794E-07
    2.161519E-03    1.400100E+00    4.000000E-01    4.413035E-07
    2.161519E-03    1.500100E+00    4.000000E-01    4.022571E-07
    2.161519E-03    1.600100E+00    4.000000E-01    3.676796E-07
    2.161519E-03    1.700100E+00    4.000000E-01    3.352550E-07
    2.161519E-03    1.800100E+00    4.000000E-01    3.141567E-07
    2.161519E-03    1.900100E+00    4.000000E-01    2.872054E-07
